epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2023.77,0.78485,1.2782,1.22852,0.67439,0.78808,0.81982,0.63087,0.94395,0.99625,1.39981,0.0086536,0.0086536,0.0086536
70,2053.3,0.79094,1.27973,1.23942,0.69135,0.72022,0.80561,0.62496,0.93577,1.00535,1.39875,0.0086338,0.0086338,0.0086338
71,2082.91,0.76765,1.26253,1.2354,0.71045,0.73922,0.80994,0.61189,0.94314,1.04616,1.39677,0.008614,0.008614,0.008614
72,2112.57,0.76876,1.27955,1.23394,0.72585,0.71907,0.84655,0.65188,0.91904,0.94588,1.37989,0.0085942,0.0085942,0.0085942
73,2142.15,0.76837,1.25017,1.22882,0.69019,0.75784,0.79582,0.60785,0.9451,1.07242,1.41544,0.0085744,0.0085744,0.0085744
74,2172.28,0.76083,1.23439,1.22774,0.60972,0.81222,0.82852,0.62871,0.94035,1.00613,1.38843,0.0085546,0.0085546,0.0085546
75,2201.81,0.7645,1.24249,1.22757,0.70541,0.76266,0.8193,0.6218,0.95257,0.97043,1.41482,0.0085348,0.0085348,0.0085348
76,2231.38,0.76613,1.2232,1.22963,0.70705,0.73983,0.80777,0.62079,0.94007,1.01562,1.39484,0.008515,0.008515,0.008515
77,2260.96,0.76812,1.20186,1.23406,0.64011,0.83938,0.81504,0.63116,0.91639,0.9342,1.37688,0.0084952,0.0084952,0.0084952
78,2290.52,0.77657,1.22504,1.23314,0.6595,0.76707,0.82599,0.63616,0.93227,0.96606,1.40057,0.0084754,0.0084754,0.0084754
79,2319.95,0.76181,1.19864,1.22616,0.75338,0.70344,0.80333,0.61345,0.93529,0.9968,1.38094,0.0084556,0.0084556,0.0084556
80,2349.57,0.75866,1.20374,1.22171,0.62904,0.75518,0.77385,0.58465,0.94813,1.04882,1.42589,0.0084358,0.0084358,0.0084358
81,2379.28,0.76347,1.21418,1.22582,0.76823,0.70233,0.82696,0.63374,0.93191,0.91716,1.39778,0.008416,0.008416,0.008416
82,2408.65,0.76089,1.19274,1.21814,0.77748,0.69526,0.81694,0.63017,0.94073,0.96216,1.41389,0.0083962,0.0083962,0.0083962
83,2438.05,0.7599,1.19227,1.22921,0.73662,0.72305,0.83332,0.63918,0.93513,0.96115,1.39344,0.0083764,0.0083764,0.0083764
84,2467.53,0.76388,1.18271,1.2153,0.70596,0.77295,0.80492,0.62252,0.93164,0.92845,1.39348,0.0083566,0.0083566,0.0083566
85,2497.01,0.74277,1.17091,1.21736,0.73329,0.75769,0.83123,0.63755,0.94051,0.95805,1.38226,0.0083368,0.0083368,0.0083368
86,2526.65,0.75766,1.20494,1.22073,0.74085,0.74139,0.82573,0.64383,0.91402,0.96579,1.36647,0.008317,0.008317,0.008317
87,2556.17,0.73837,1.16579,1.2136,0.742,0.73018,0.83743,0.65438,0.92395,0.92255,1.38391,0.0082972,0.0082972,0.0082972
88,2585.72,0.73215,1.10462,1.20128,0.77515,0.74301,0.83942,0.65084,0.90921,0.95947,1.3842,0.0082774,0.0082774,0.0082774
89,2615.21,0.74925,1.16276,1.2137,0.75635,0.73628,0.82115,0.63001,0.93157,0.95372,1.37953,0.0082576,0.0082576,0.0082576
90,2644.83,0.73512,1.13818,1.20727,0.70515,0.73791,0.83238,0.65057,0.90594,0.96562,1.35214,0.0082378,0.0082378,0.0082378
91,2674.38,0.73816,1.13292,1.20611,0.728,0.75976,0.83196,0.64671,0.90948,0.93669,1.37467,0.008218,0.008218,0.008218
92,2701.68,0.75101,1.14648,1.21389,0.67668,0.75801,0.82501,0.65472,0.89928,0.96845,1.37632,0.0081982,0.0081982,0.0081982
93,2730.26,0.73985,1.12773,1.20509,0.67111,0.78941,0.85508,0.66248,0.90877,0.90811,1.36244,0.0081784,0.0081784,0.0081784
94,2758.78,0.73621,1.12789,1.20779,0.72695,0.77854,0.83033,0.64367,0.91737,0.95315,1.37986,0.0081586,0.0081586,0.0081586
95,2787.4,0.73292,1.13367,1.20764,0.67018,0.84833,0.84496,0.65149,0.9182,0.92779,1.37629,0.0081388,0.0081388,0.0081388
96,2816.03,0.72436,1.124,1.20796,0.73981,0.76232,0.84096,0.65542,0.92245,0.96753,1.38139,0.008119,0.008119,0.008119
97,2844.61,0.72811,1.12133,1.21,0.71402,0.81118,0.85776,0.66238,0.91479,0.89384,1.36578,0.0080992,0.0080992,0.0080992
98,2873.27,0.71942,1.09413,1.19281,0.75617,0.72187,0.81746,0.6378,0.90931,0.9806,1.36557,0.0080794,0.0080794,0.0080794
99,2901.83,0.71843,1.09294,1.19578,0.71425,0.77346,0.82513,0.63967,0.93509,0.91616,1.40051,0.0080596,0.0080596,0.0080596
100,2930.41,0.7211,1.08619,1.19658,0.74829,0.7687,0.84766,0.65862,0.92016,0.92647,1.36705,0.0080398,0.0080398,0.0080398
101,2959.14,0.72863,1.09248,1.20463,0.7112,0.82071,0.8618,0.67215,0.9185,0.87206,1.36534,0.00802,0.00802,0.00802
102,2987.29,0.73647,1.10127,1.20461,0.77817,0.73738,0.84302,0.65744,0.91901,0.97823,1.37144,0.0080002,0.0080002,0.0080002
103,3015.1,0.71298,1.0577,1.18803,0.7726,0.72326,0.84396,0.66109,0.90657,0.95127,1.3547,0.0079804,0.0079804,0.0079804
104,3043.69,0.71775,1.06528,1.20031,0.76975,0.755,0.83888,0.66551,0.91281,0.95156,1.3742,0.0079606,0.0079606,0.0079606
105,3072.33,0.71819,1.06122,1.18719,0.75304,0.75515,0.83939,0.66577,0.90357,0.90875,1.36713,0.0079408,0.0079408,0.0079408
106,3100.93,0.71283,1.06374,1.1921,0.71703,0.77961,0.80332,0.63165,0.91979,0.96184,1.4038,0.007921,0.007921,0.007921
107,3129.59,0.70782,1.03278,1.18312,0.70786,0.78483,0.8215,0.64297,0.91059,0.95829,1.37119,0.0079012,0.0079012,0.0079012
108,3158.22,0.71115,1.06591,1.19072,0.72694,0.7723,0.82958,0.64761,0.91234,0.9357,1.36772,0.0078814,0.0078814,0.0078814
109,3186.79,0.72445,1.04563,1.19543,0.72747,0.76478,0.81866,0.63481,0.90189,0.94097,1.37429,0.0078616,0.0078616,0.0078616
110,3215.48,0.70792,1.03833,1.18174,0.78838,0.72315,0.83455,0.64942,0.90546,0.91349,1.36024,0.0078418,0.0078418,0.0078418
111,3244.11,0.72183,1.0541,1.1931,0.75077,0.75471,0.83195,0.65197,0.90798,0.9547,1.37284,0.007822,0.007822,0.007822
112,3272.78,0.70327,1.05208,1.18728,0.75225,0.76737,0.82638,0.65351,0.88611,0.90981,1.34812,0.0078022,0.0078022,0.0078022
113,3301.43,0.70463,1.04641,1.18641,0.70046,0.78354,0.82354,0.6494,0.9056,0.92614,1.36011,0.0077824,0.0077824,0.0077824
114,3329.96,0.71153,1.03371,1.18888,0.75509,0.7644,0.82555,0.64533,0.89886,0.90809,1.35703,0.0077626,0.0077626,0.0077626
115,3358.57,0.71164,1.03499,1.18879,0.76976,0.73493,0.8435,0.66532,0.90098,0.96484,1.37352,0.0077428,0.0077428,0.0077428
116,3387.08,0.70909,1.04386,1.18194,0.79502,0.6792,0.8401,0.66508,0.91535,0.95002,1.38114,0.007723,0.007723,0.007723
117,3415.65,0.70464,0.99572,1.18397,0.6844,0.79686,0.84229,0.66356,0.91127,0.90246,1.3804,0.0077032,0.0077032,0.0077032
118,3444.53,0.69455,1.01156,1.17864,0.71329,0.81338,0.85215,0.66388,0.90812,0.86304,1.37884,0.0076834,0.0076834,0.0076834
119,3473.5,0.70447,1.03794,1.17594,0.73696,0.8082,0.86369,0.6696,0.90995,0.88283,1.37442,0.0076636,0.0076636,0.0076636
120,3502.24,0.69023,1.00426,1.17538,0.73459,0.76821,0.84153,0.65664,0.90678,0.94358,1.3776,0.0076438,0.0076438,0.0076438
121,3530.82,0.69294,1.00404,1.17861,0.74027,0.77849,0.82263,0.64254,0.91056,0.89368,1.37686,0.007624,0.007624,0.007624
122,3559.47,0.68243,1.012,1.17703,0.72071,0.77147,0.8211,0.64076,0.90948,0.93758,1.37687,0.0076042,0.0076042,0.0076042
123,29.7843,0.6772,0.9701,1.16436,0.68383,0.81558,0.82809,0.6545,0.89177,0.97011,1.36515,0.0075844,0.0075844,0.0075844
